,Date,Open,High,Low,Close,Adj Close,Volume
20408,2009-04-09,829.289978,856.909973,829.289978,856.559998,856.559998,7600710000
20409,2009-04-13,855.330017,864.309998,845.349976,858.72998,858.72998,6434890000
20410,2009-04-14,856.880005,856.880005,840.25,841.5,841.5,7569840000
20411,2009-04-15,839.440002,852.929993,835.580017,852.059998,852.059998,6241100000
20412,2009-04-16,854.539978,870.349976,847.039978,865.299988,865.299988,6598670000
20413,2009-04-17,865.179993,875.630005,860.869995,869.599976,869.599976,7352010000
20414,2009-04-20,868.27002,868.27002,832.390015,832.390015,832.390015,6973960000
20415,2009-04-21,831.25,850.090027,826.830017,850.080017,850.080017,7436490000
20416,2009-04-22,847.26001,861.780029,840.570007,843.549988,843.549988,7327860000
20417,2009-04-23,844.619995,852.869995,835.450012,851.919983,851.919983,6563100000
20418,2009-04-24,853.909973,871.799988,853.909973,866.22998,866.22998,7114440000
20419,2009-04-27,862.820007,868.830017,854.650024,857.51001,857.51001,5613460000
20420,2009-04-28,854.47998,864.47998,847.119995,855.159973,855.159973,6328000000
20421,2009-04-29,856.849976,882.059998,856.849976,873.640015,873.640015,6101620000
20422,2009-04-30,876.590027,888.700012,868.51001,872.809998,872.809998,6862540000
20423,2009-05-01,872.73999,880.47998,866.099976,877.52002,877.52002,5312170000
20424,2009-05-04,879.210022,907.849976,879.210022,907.23999,907.23999,7038840000
20425,2009-05-05,906.099976,907.700012,897.340027,903.799988,903.799988,6882860000
20426,2009-05-06,903.950012,920.280029,903.950012,919.530029,919.530029,8555040000
20427,2009-05-07,919.580017,929.580017,901.359985,907.390015,907.390015,9120100000
20428,2009-05-08,909.030029,930.169983,909.030029,929.22998,929.22998,8163280000
20429,2009-05-11,922.98999,922.98999,908.679993,909.23999,909.23999,6150600000
20430,2009-05-12,910.52002,915.570007,896.460022,908.349976,908.349976,6871750000
20431,2009-05-13,905.400024,905.400024,882.799988,883.919983,883.919983,7091820000
20432,2009-05-14,884.23999,898.359985,882.52002,893.070007,893.070007,6134870000
20433,2009-05-15,892.76001,896.969971,878.940002,882.880005,882.880005,5439720000
20434,2009-05-18,886.070007,910.0,886.070007,909.710022,909.710022,5702150000
20435,2009-05-19,909.669983,916.390015,905.219971,908.130005,908.130005,6616270000
20436,2009-05-20,908.619995,924.599976,901.369995,903.469971,903.469971,8205060000
20437,2009-05-21,900.419983,900.419983,879.609985,888.330017,888.330017,6019840000
20438,2009-05-22,888.679993,896.650024,883.75,887.0,887.0,5155320000
20439,2009-05-26,887.0,911.76001,881.460022,910.330017,910.330017,5667050000
20440,2009-05-27,909.950012,913.840027,891.869995,893.059998,893.059998,5698800000
20441,2009-05-28,892.960022,909.450012,887.599976,906.830017,906.830017,5738980000
20442,2009-05-29,907.02002,920.02002,903.559998,919.140015,919.140015,6050420000
20443,2009-06-01,923.26001,947.77002,923.26001,942.869995,942.869995,6370440000
20444,2009-06-02,942.869995,949.380005,938.460022,944.73999,944.73999,5987340000
20445,2009-06-03,942.51001,942.51001,923.849976,931.76001,931.76001,5323770000
20446,2009-06-04,932.48999,942.469971,929.320007,942.460022,942.460022,5352890000
20447,2009-06-05,945.669983,951.690002,934.130005,940.090027,940.090027,5277910000
20448,2009-06-08,938.119995,946.330017,926.440002,939.140015,939.140015,4483430000
20449,2009-06-09,940.349976,946.919983,936.150024,942.429993,942.429993,4439950000
20450,2009-06-10,942.72998,949.77002,927.969971,939.150024,939.150024,5379420000
20451,2009-06-11,939.039978,956.22998,939.039978,944.890015,944.890015,5500840000
20452,2009-06-12,943.440002,946.299988,935.659973,946.210022,946.210022,4528120000
20453,2009-06-15,942.450012,942.450012,919.650024,923.719971,923.719971,4697880000
20454,2009-06-16,925.599976,928.0,911.599976,911.969971,911.969971,4951200000
20455,2009-06-17,911.890015,918.440002,903.780029,910.710022,910.710022,5523650000
20456,2009-06-18,910.859985,921.929993,907.940002,918.369995,918.369995,4684010000
20457,2009-06-19,919.960022,927.090027,915.799988,921.22998,921.22998,5713390000
20458,2009-06-22,918.130005,918.130005,893.039978,893.039978,893.039978,4903940000
20459,2009-06-23,893.460022,898.690002,888.859985,895.099976,895.099976,5071020000
20460,2009-06-24,896.309998,910.849976,896.309998,900.940002,900.940002,4636720000
20461,2009-06-25,899.450012,921.419983,896.27002,920.26001,920.26001,4911240000
20462,2009-06-26,918.840027,922.0,913.030029,918.900024,918.900024,6076660000
20463,2009-06-29,919.859985,927.98999,916.179993,927.22998,927.22998,4211760000
20464,2009-06-30,927.150024,930.01001,912.859985,919.320007,919.320007,4627570000
20465,2009-07-01,920.820007,931.919983,920.820007,923.330017,923.330017,3919400000
20466,2009-07-02,921.23999,921.23999,896.419983,896.419983,896.419983,3931000000
20467,2009-07-06,894.27002,898.719971,886.359985,898.719971,898.719971,4712580000
20468,2009-07-07,898.599976,898.599976,879.929993,881.030029,881.030029,4673300000
20469,2009-07-08,881.900024,886.799988,869.320007,879.559998,879.559998,5721780000
20470,2009-07-09,881.280029,887.859985,878.450012,882.679993,882.679993,4347170000
20471,2009-07-10,880.030029,883.570007,872.809998,879.130005,879.130005,3912080000
20472,2009-07-13,879.570007,901.049988,875.320007,901.049988,901.049988,4499440000
20473,2009-07-14,900.77002,905.840027,896.5,905.840027,905.840027,4149030000
20474,2009-07-15,910.150024,933.950012,910.150024,932.679993,932.679993,5238830000
20475,2009-07-16,930.169983,943.960022,927.450012,940.73999,940.73999,4898640000
20476,2009-07-17,940.559998,941.890015,934.650024,940.380005,940.380005,5141380000
20477,2009-07-20,942.070007,951.619995,940.98999,951.130005,951.130005,4853150000
20478,2009-07-21,951.969971,956.530029,943.219971,954.580017,954.580017,5309300000
20479,2009-07-22,953.400024,959.830017,947.75,954.070007,954.070007,4634100000
20480,2009-07-23,954.070007,979.419983,953.27002,976.289978,976.289978,5761650000
20481,2009-07-24,972.159973,979.789978,965.950012,979.26001,979.26001,4458300000
20482,2009-07-27,978.630005,982.48999,972.289978,982.179993,982.179993,4631290000
20483,2009-07-28,981.47998,982.349976,969.349976,979.619995,979.619995,5490350000
20484,2009-07-29,977.659973,977.76001,968.650024,975.150024,975.150024,5178770000
20485,2009-07-30,976.01001,996.679993,976.01001,986.75,986.75,6035180000
20486,2009-07-31,986.799988,993.179993,982.849976,987.47998,987.47998,5139070000
20487,2009-08-03,990.219971,1003.609985,990.219971,1002.630005,1002.630005,5603440000
20488,2009-08-04,1001.409973,1007.119995,996.679993,1005.650024,1005.650024,5713700000
20489,2009-08-05,1005.409973,1006.640015,994.309998,1002.719971,1002.719971,7242120000
20490,2009-08-06,1004.059998,1008.0,992.48999,997.080017,997.080017,6753380000
20491,2009-08-07,999.830017,1018.0,999.830017,1010.47998,1010.47998,6827090000
20492,2009-08-10,1008.890015,1010.119995,1000.98999,1007.099976,1007.099976,5406080000
20493,2009-08-11,1005.77002,1005.77002,992.400024,994.349976,994.349976,5773160000
20494,2009-08-12,994.0,1012.780029,993.359985,1005.809998,1005.809998,5498170000
20495,2009-08-13,1005.859985,1013.140015,1000.820007,1012.72998,1012.72998,5250660000
20496,2009-08-14,1012.22998,1012.599976,994.599976,1004.090027,1004.090027,4940750000
20497,2009-08-17,998.179993,998.179993,978.51001,979.72998,979.72998,4088570000
20498,2009-08-18,980.619995,991.200012,980.619995,989.669983,989.669983,4198970000
20499,2009-08-19,986.880005,999.609985,980.619995,996.460022,996.460022,4257000000
20500,2009-08-20,996.409973,1008.919983,996.390015,1007.369995,1007.369995,4893160000
20501,2009-08-21,1009.059998,1027.589966,1009.059998,1026.130005,1026.130005,5885550000
20502,2009-08-24,1026.589966,1035.819946,1022.47998,1025.569946,1025.569946,6302450000
20503,2009-08-25,1026.630005,1037.75,1026.209961,1028.0,1028.0,5768740000
20504,2009-08-26,1027.349976,1032.469971,1021.570007,1028.119995,1028.119995,5080060000
